year,series_type,series_name,series_href
2021,International,"Bangladesh tour of New Zealand, 2022",https://www.cricbuzz.com/cricket-series/3876/bangladesh-tour-of-new-zealand-2022/matches
2021,International,"India tour of South Africa, 2021-22",https://www.cricbuzz.com/cricket-series/3656/india-tour-of-south-africa-2021-22/matches
2021,International,"Ireland tour of USA, 2021",https://www.cricbuzz.com/cricket-series/3866/ireland-tour-of-usa-2021/matches
2021,International,"West Indies tour of Pakistan, 2021-22",https://www.cricbuzz.com/cricket-series/3858/west-indies-tour-of-pakistan-2021-22/matches
2021,International,"The Ashes, 2021-22",https://www.cricbuzz.com/cricket-series/3532/the-ashes-2021-22/matches
2021,International,"Afghanistan tour of Australia Only Test, 2021 (Postponed)",https://www.cricbuzz.com/cricket-series/3546/afghanistan-tour-of-australia-only-test-2021-postponed/matches
2021,International,"Netherlands tour of South Africa, 2021 (Postponed)",https://www.cricbuzz.com/cricket-series/3651/netherlands-tour-of-south-africa-2021-postponed/matches
2021,International,"Pakistan tour of Bangladesh, 2021",https://www.cricbuzz.com/cricket-series/3671/pakistan-tour-of-bangladesh-2021/matches
2021,International,"New Zealand tour of India, 2021",https://www.cricbuzz.com/cricket-series/3682/new-zealand-tour-of-india-2021/matches
2021,International,ICC Mens T20 World Cup Africa Qualifier 2021,https://www.cricbuzz.com/cricket-series/3893/icc-mens-t20-world-cup-africa-qualifier-2021/matches
2021,International,"West Indies tour of Sri Lanka, 2021",https://www.cricbuzz.com/cricket-series/3851/west-indies-tour-of-sri-lanka-2021/matches
2021,International,ICC Mens T20 World Cup Americas Region Qualifier 2021,https://www.cricbuzz.com/cricket-series/8026/icc-mens-t20-world-cup-americas-region-qualifier-2021/matches
2021,International,"ICC Mens T20 World Cup Sub Regional Africa Qualifier Group B, 2021",https://www.cricbuzz.com/cricket-series/8267/icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-b-2021/matches
2021,International,"Gibraltar tour of Malta, 2021",https://www.cricbuzz.com/cricket-series/3808/gibraltar-tour-of-malta-2021/matches
2021,International,ICC Mens T20 World Cup Asia A Qualifier 2021,https://www.cricbuzz.com/cricket-series/8485/icc-mens-t20-world-cup-asia-a-qualifier-2021/matches
2021,International,Valletta Cup 2021,https://www.cricbuzz.com/cricket-series/8224/valletta-cup-2021/matches
2021,International,Sierra Leone tour of Nigeria T20I Series 2021,https://www.cricbuzz.com/cricket-series/7628/sierra-leone-tour-of-nigeria-t20i-series-2021/matches
2021,International,ICC Mens T20 World Cup 2021,https://www.cricbuzz.com/cricket-series/2798/icc-mens-t20-world-cup-2021/matches
2021,International,ICC Mens T20 World Cup Sub Regional Africa Qualifier Group A 2021,https://www.cricbuzz.com/cricket-series/7990/icc-mens-t20-world-cup-sub-regional-africa-qualifier-group-a-2021/matches
2021,International,ICC Mens T20 World Cup Europe Qualifier 2021,https://www.cricbuzz.com/cricket-series/3793/icc-mens-t20-world-cup-europe-qualifier-2021/matches
2021,International,"England tour of Pakistan, 2021 (Cancelled)",https://www.cricbuzz.com/cricket-series/3342/england-tour-of-pakistan-2021-cancelled/matches
2021,International,Cyprus T20 Tri-Series 2021,https://www.cricbuzz.com/cricket-series/7995/cyprus-t20-tri-series-2021/matches
2021,International,UAE Summer T20 Bash 2021,https://www.cricbuzz.com/cricket-series/3677/uae-summer-t20-bash-2021/matches
2021,International,"Estonia tour of Cyprus, 2021",https://www.cricbuzz.com/cricket-series/7954/estonia-tour-of-cyprus-2021/matches
2021,International,"New Zealand tour of Pakistan, 2021 (Cancelled)",https://www.cricbuzz.com/cricket-series/3602/new-zealand-tour-of-pakistan-2021-cancelled/matches
2021,International,"Zimbabwe tour of Scotland, 2021",https://www.cricbuzz.com/cricket-series/3611/zimbabwe-tour-of-scotland-2021/matches
