SquareFootage,Price
1360,291985
4272,1348373
3592,818716
966,270496
4926,1412173
3944,773866
3671,1440486
3419,1175394
630,242471
2185,816549
1269,380033
2891,1099934
2933,504837
1684,335108
3885,626677
4617,1068062
3404,841364
974,212173
1582,565065
3058,731437
2547,560935
3247,927583
1475,273215
2306,808366
689,116191
3234,1282998
3505,1202429
2399,479029
1767,267489
2028,717638
3702,1209496
4056,1347613
4390,1504969
1146,193113
3388,811820
2935,525268
1100,402353
2863,875575
2561,596007
741,122924
2541,578701
3324,768827
3112,1034433
1863,576392
1978,735426
3056,819172
1275,229370
4514,1481996
534,181664
3652,1060246
